label,text,char_count,word_count,clean_text,target
spam,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,111,15,forwarded please call immediately urgent message waiting,1
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,150,23,congratulation ur awarded cd voucher gift guaranteed free entry wkly draw txt music tncs,1
ham,Ok no prob...,13,3,ok prob,0
ham,Have a great trip to India. And bring the light to everyone not just with the project but with everyone that is lucky to see you smile. Bye. Abiola,147,29,great trip india bring light everyone project everyone lucky see smile bye abiola,0
ham,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. ",113,25,hey chief give bell get need talk royal visit st june,0
ham,"K I'm ready,  &lt;#&gt; ?",25,5,k im ready ltgt,0
ham,"Aight text me when you're back at mu and I'll swing by, need somebody to get the door for me",92,20,aight text youre back mu ill swing need somebody get door,0
ham,I am in tirupur.  call you da.,30,7,tirupur call da,0
ham,Mm you ask him to come its enough :-),37,9,mm ask come enough,0
ham,By monday next week. Give me the full gist,42,9,monday next week give full gist,0
ham,How are you. Wish you a great semester,38,8,wish great semester,0
ham,"Sorry I flaked last night, shit's seriously goin down with my roommate, what you up to tonight?",95,17,sorry flaked last night shit seriously goin roommate tonight,0
ham,"ThatÛ÷s the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!",126,26,thatû÷s thing ape u fight death keep something minute u let go thats,0
ham,In fact when do you leave? I think addie goes back to school tues or wed,72,16,fact leave think addie go back school tues wed,0
ham,I'm home.,9,2,im home,0
ham,Hey... are you going to quit soon? Xuhui and i working till end of the month ,77,16,hey going quit soon xuhui working till end month,0
ham,U R THE MOST BEAUTIFUL GIRL IVE EVER SEEN. U R MY BABY COME AND C ME IN THE COMMON ROOM,87,21,u r beautiful girl ive ever seen u r baby come c common room,0
ham,Ya even those cookies have jelly on them,40,8,ya even cooky jelly,0
ham,Whatsup there. Dont u want to sleep,35,7,whatsup dont u want sleep,0
ham,Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow,84,17,lol ok ill try send warned sprint dead slow youll prolly get tomorrow,0
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,196,37,ive searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time,0
ham,I did. One slice and one breadstick. Lol,40,8,one slice one breadstick lol,0
ham,"Ever green quote ever told by Jerry in cartoon \A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt""",160,32,ever green quote ever told jerry cartoon person irritates u always one love u vry much fails express gud nyt,0
ham,Tell dear what happen to you. Why you talking to me like an alian,65,14,tell dear happen talking like alian,0
ham,K.k:)apo k.good movie.,22,3,kkapo kgood movie,0
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,172,33,rodger burn msg tried call reply sm free nokia mobile free camcorder please call delivery tomorrow,1
ham,LMAO where's your fish memory when I need it?,45,9,lmao wheres fish memory need,0
ham,Rightio. 11.48 it is then. Well arent we all up bright and early this morning.,78,15,rightio well arent bright early morning,0
ham,K.i did't see you.:)k:)where are you now?,41,7,ki didt see youkwhere,0
ham,That's y i said it's bad dat all e gals know u... Wat u doing now?,66,16,thats said bad dat e gal know u wat u,0
ham,"She was supposed to be but couldn't make it, she's still in town though",71,14,supposed couldnt make shes still town though,0
ham,Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model.,133,28,thanks talk saturday dear cherish brother role model,0
ham,Reading gud habit.. Nan bari hudgi yorge pataistha ertini kano:-),65,10,reading gud habit nan bari hudgi yorge pataistha ertini kano,0
ham,When did dad get back.,22,5,dad get back,0
ham,Really good:)dhanush rocks once again:),39,5,really gooddhanush rock,0
ham,Happy birthday to you....dear.with lots of love.rakhesh NRI,59,8,happy birthday youdearwith lot loverakhesh nri,0
ham,Oic... Then better quickly go bathe n settle down...,52,9,oic better quickly go bathe n settle,0
spam,IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!,157,22,important information orange user xxxxxx today ur lucky day find log onto there fantastic prizeawaiting,1
spam,Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery,144,26,want new video phone anytime network min half price line rental free text month reply call free delivery,1
ham,No. On the way home. So if not for the long dry spell the season would have been over,85,19,way home long dry spell season would,0
ham,K.i will send in  &lt;#&gt;  min:),34,6,ki send ltgt min,0
ham,I dont want to hear philosophy. Just say what happen,52,10,dont want hear philosophy say happen,0
ham,I am going to sleep. I am tired of travel.,42,10,going sleep tired travel,0
ham,I'm in office now da:)where are you?,36,7,im office dawhere,0
ham,Does cinema plus drink appeal tomo? * Is a fr thriller by director i like on at mac at 8.30.,92,20,cinema plus drink appeal tomo fr thriller director like mac,0
ham,tap & spile at seven. * Is that pub on gas st off broad st by canal. Ok?,72,18,tap spile seven pub gas st broad st canal ok,0
ham,Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/,160,33,cant feel nauseous im pissed didnt eat sweet week cause today planning pig dieting week im hungry,0
spam,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",161,23,eerie nokia tone u rply tone title eg tone dracula title ghost addamsfa munsters exorcist twilight pobox w wq p,1
spam,Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app ,157,27,today voda number ending selected receive award hava match please call quoting claim code standard rate app,1
ham,K k :-):-) then watch some films.,33,7,k k watch film,0
ham,Match started.india  &lt;#&gt;  for 2,37,5,match startedindia ltgt,0
ham,"Just wondering, the others just took off",40,7,wondering others took,0
ham,No go. No openings for that room 'til after thanksgiving without an upcharge.,77,13,go opening room til thanksgiving without upcharge,0
spam,"Free Msg: get Gnarls Barkleys \Crazy\"" ringtone TOTALLY FREE just reply GO to this message right now!""",102,17,free msg get gnarl barkley crazy ringtone totally free reply go message right,1
spam,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",159,32,got take take part wrc rally oz u lucozade energy text rally le p see pack lucozadecoukwrc itcould u,1
spam,SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE,152,22,sm service inclusive text credit pls gotto login qxj unsubscribe stop extra charge help comuk cm ae,1
ham,Just buy a pizza. Meat lovers or supreme. U get to pick.,56,12,buy pizza meat lover supreme u get pick,0
ham,HMM yeah if your not too grooved out! And im looking forward to my pound special :),83,17,hmm yeah grooved im looking forward pound special,0
ham,K...k:)why cant you come here and search job:),46,8,kkwhy cant come search job,0
ham,Tell me they're female :V how're you throwing in? We're deciding what all to get now,84,16,tell theyre female v howre throwing deciding get,0
ham,Dont gimme that lip caveboy,27,5,dont gim lip caveboy,0
spam,"For your chance to WIN a FREE Bluetooth Headset then simply reply back with \ADP\""""",83,15,chance win free bluetooth headset simply reply back adp,1
ham,"Probably gonna be here for a while, see you later tonight &lt;)",63,12,probably gon na see later tonight lt,0
ham,"I'll see if I can swing by in a bit, got some things to take care of here firsg",79,19,ill see swing bit got thing take care firsg,0
ham,Great. So should i send you my account number.,46,9,great send account number,0
ham,Well keep in mind I've only got enough gas for one more round trip barring a sudden influx of cash,98,20,well keep mind ive got enough gas one round trip barring sudden influx cash,0
ham,Just re read it and I have no shame but tell me how he takes it and if he runs I will blame u 4 ever!! Not really 4 ever just a long time ,138,34,read shame tell take run blame u ever really ever long time,0
ham,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed,129,28,yo guy ever figure much need alcohol jay trying figure much safely spend weed,0
ham,Have you laid your airtel line to rest?,39,8,laid airtel line rest,0
ham,Don't forget who owns you and who's private property you are ... And be my good boy always .. *passionate kiss*,111,21,dont forget owns who private property good boy always passionate kiss,0
spam,Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX å£1.50,156,28,well done england get official poly ringtone colour flag yer mobile text tone flag optout txt eng stop box w wx å£,1
ham,"Haha... Sounds crazy, dunno can tahan anot...",45,7,haha sound crazy dunno tahan anot,0
ham,I can do that! I want to please you both inside and outside the bedroom...,74,15,want please inside outside bedroom,0
ham,Wat's da model num of ur phone?,31,7,wats da model num ur phone,0
ham,"Sorry,in meeting I'll call later",32,5,sorryin meeting ill call later,0
ham, &lt;DECIMAL&gt; m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla,132,27,ltdecimalgt common car better buy china asia find less expensive ill holla,0
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,84,15,ummmawill call check inour life begin qatar pls pray hard,0
ham,True dear..i sat to pray evening and felt so.so i sms'd you in some time...,75,15,true deari sat pray evening felt soso smsd time,0
ham,"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill",107,22,anyway dont think secure anything lem know want drive south chill,0
ham,THIS IS A LONG FUCKIN SHOWR,27,6,long fuckin showr,0
ham,Well. Balls. Time to make calls,31,6,well ball time make call,0
ham,My planning usually stops at \find hella weed,45,8,planning usually stop find hella weed,0
ham,"Set a place for me in your heart and not in your mind, as the mind easily forgets but the heart will always remember. Wish you Happy Valentines Day!",148,29,set place heart mind mind easily forgets heart always remember wish happy valentine day,0
ham,I thk Ì_ gotta go home by urself. Cos i'll b going out shopping 4 my frens present. ,84,18,thk ì got ta go home urself co ill b going shopping frens present,0
ham,Otherwise had part time job na-tuition..,40,6,otherwise part time job natuition,0
ham,Just glad to be talking to you.,31,7,glad talking,0
ham,"Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now.",147,28,especially since talk boston personal statement lol woulda changed realized said nyc say boston,0
ham,Im just wondering what your doing right now?,44,8,im wondering right,0
ham,Ill be at yours in about 3 mins but look out for me,51,13,ill min look,0
ham,We can go 4 e normal pilates after our intro...  ,49,10,go e normal pilate intro,0
ham,"Ya tel, wats ur problem..",25,5,ya tel wats ur problem,0
ham,"&lt;#&gt;  is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj",461,66,ltgt fast approaching wish u happy new year happy sankranti happy republic day happy valentine day happy shivratri happy ugadi happy fool day happy may day happy independence day happy friendshipmotherfatherteacherschildrens day amp happy birthday u happy ganesh festival happy dasara happy diwali happy christmas ltgt good morning afternoon evening night rememberi first wishing u theseyours raj,0
spam,Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net,153,32,heard u call night knickers make beg like u last time xx luv nikiyu net,1
ham,Hi :)finally i completed the course:),37,6,hi finally completed course,0
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",156,24,england v macedonia dont miss goalsteam news txt ur national team eg england trywales scotland txtì¼ poboxox w wq,1
ham,No problem. Talk to you later,29,6,problem talk later,0
spam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622",152,24,customer service announcement recently tried make delivery unable please call reschedule ref,1
ham,"Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?",78,15,forgot take year shower sorry atyour phone dead yet,0
ham,I was slept that time.you there?,32,6,slept timeyou,0
ham,Then she dun believe wat?,25,5,dun believe wat,0
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,110,24,ok lar double check wif da hair dresser already said wun cut v short said cut look nice,0
ham,Watching ajith film ah?,23,4,watching ajith film ah,0
ham,You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th,73,11,available im like right around hillsborough amp ltgt th,0
ham,K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.,78,18,k ill drinkpa need sr model pls send mail id pa,0
ham,Yup,3,1,yup,0
ham,I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.,155,30,might come kerala daysso prepared take leave finalise dont plan travel visitneed finish urgent work,0
ham,Have you had a good day? Mine was really busy are you up to much tomorrow night?,80,17,good day mine really busy much tomorrow night,0
ham,"Just making dinner, you ?",25,5,making dinner,0
ham,ÌÏ all write or wat..,21,5,ìï write wat,0
ham,"Alright we're hooked up, where you guys at",42,8,alright hooked guy,0
ham,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train,92,18,thinking chuckin ur red green n black trainners save carryin bac train,0
ham,No current and food here. I am alone also,41,9,current food alone also,0
ham,Only once then after ill obey all yours.,40,8,ill obey,0
ham,"\Hey! do u fancy meetin me at 4 at cha åÐ hav a lil beverage on me. if not txt or ring me and we can meet up l8r. quite tired got in at 3 v.pist ;) love Pete x x x\""""",166,42,hey u fancy meetin cha åð hav lil beverage txt ring meet l r quite tired got vpist love pete x x x,0
ham,Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*,133,27,course dont tease know simply must see grin keep posted prey loving smile devouring kiss,0
ham,"\Hi darlin did youPhone me? Im atHome if youwanna chat.\""""",58,10,hi darlin youphone im athome youwanna chat,0
ham,"That's cool, I'll come by like  &lt;#&gt; ish",45,8,thats cool ill come like ltgt ish,0
ham,Ok u can take me shopping when u get paid =D,44,11,ok u take shopping u get paid,0
ham,Ok thanx... Take care then...,29,5,ok thanx take care,0
ham,Me too baby! I promise to treat you well! I bet you will take good care of me...,80,18,baby promise treat well bet take good care,0
ham,Dude ive been seeing a lotta corvettes lately,45,8,dude ive seeing lotta corvette lately,0
ham,Nvm it's ok...,14,3,nvm ok,0
ham,"Frnd s not juz a word.....not merely a relationship.....its a silent promise which says ... \ I will be with YOU \"" Wherevr.. Whenevr.. Forevr... Gudnyt dear..""",160,27,frnd juz wordnot merely relationshipits silent promise say wherevr whenevr forevr gudnyt dear,0
ham,Thanks for understanding. I've been trying to tell sura that.,61,10,thanks understanding ive trying tell sura,0
ham,"It'll be tough, but I'll do what I have to",42,10,itll tough ill,0
ham,Hi ....My engagement has been fixd on  &lt;#&gt; th of next month. I know its really shocking bt....hmm njan vilikkam....t ws al of a sudn;-(.,142,25,hi engagement fixd ltgt th next month know really shocking bthmm njan vilikkamt w al sudn,0
ham,"Sorry, was in the bathroom, sup",31,6,sorry bathroom sup,0
spam,"Win the newest ÛÏHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!",140,26,win newest ûïharry potter order phoenix book reply harry answer question chance first among reader,1
ham,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""",75,14,wishing family merry x ma happy new year advance,0
ham,A cute thought for friendship: \Its not necessary to share every secret with ur close Frnd,90,16,cute thought friendship necessary share every secret ur close frnd,0
ham,Ok. But i finish at 6.,22,6,ok finish,0
ham,Not..tel software name..,24,3,nottel software name,0
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,76,13,know mallika sherawat yesterday find lturlgt,0
ham,It took Mr owl 3 licks,22,6,took mr owl lick,0
ham,Hey you told your name to gautham ah?,37,8,hey told name gautham ah,0
ham,So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!,96,19,telling coulda real valentine wasnt u never pick nothing,0
ham,"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up... ",134,25,oh haha den shld went today gee nvm la kaiez dun mind goin jazz oso scared hiphop open cant catch,0
ham,Ill be there on  &lt;#&gt;  ok.,31,6,ill ltgt ok,0
ham,Asking do u knw them or nt? May be ur frnds or classmates?,58,13,asking u knw nt may ur frnds classmate,0
ham,I've told him that i've returned it. That should i re order it.,63,13,ive told ive returned order,0
ham,I'm job profile seems like bpo..,32,6,im job profile seems like bpo,0
ham,Finished class where are you.,29,5,finished class,0
ham,Yes.mum lookin strong:),23,3,yesmum lookin strong,0
ham,Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.,126,26,sound better evening im costume im sure time finish tomorrow txt end,0
ham,He needs to stop going to bed and make with the fucking dealing,63,13,need stop going bed make fucking dealing,0
ham,Let me know when you've got the money so carlos can make the call,65,14,let know youve got money carlos make call,0
ham,I re-met alex nichols from middle school and it turns out he's dealing!,71,13,remet alex nichols middle school turn he dealing,0
ham,First has she gained more than  &lt;#&gt; kg since she took in. Second has she done the blood sugar tests. If she has and its ok and her blood pressure is within normal limits then no worries,191,37,first gained ltgt kg since took second done blood sugar test ok blood pressure within normal limit worry,0
ham,How is your schedule next week? I am out of town this weekend.,62,13,schedule next week town weekend,0
ham,Teach me apps da. When you come to college.,43,9,teach apps da come college,0
ham,"It could work, we'll reach a consensus at the next meeting",58,11,could work well reach consensus next meeting,0
ham,I think steyn surely get one wicket:),37,7,think steyn surely get one wicket,0
ham,"\Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic\""""",98,17,petey boy whereare friendsare thekingshead come canlove nic,0
spam,"U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription",160,24,u win å£ music gift voucher every week starting txt word draw tscs skillgame winaweek age ppermesssubscription,1
ham,i dnt wnt to tlk wid u,22,7,dnt wnt tlk wid u,0
ham,Me too. Mark is taking forever to pick up my prescription and the pain is coming back.,86,17,mark taking forever pick prescription pain coming back,0
ham,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...",154,37,fuck babe miss sooooo much wish sleep bed lonely go sleep dream love,0
ham,They said Ì_ dun haf passport or smth like dat.. Or Ì_ juz send to my email account..  ,87,18,said ì dun haf passport smth like dat ì juz send email account,0
ham,"Thanks again for your reply today. When is ur visa coming in. And r u still buying the gucci and bags. My sister things are not easy, uncle john also has his own bills so i really need to think about how to make my own money. Later sha.",236,49,thanks reply today ur visa coming r u still buying gucci bag sister thing easy uncle john also bill really need think make money later sha,0
ham,Hello! Good week? Fancy a drink or something later?,51,9,hello good week fancy drink something later,0
ham,Dunno leh cant remember mayb lor. So wat time r we meeting tmr?,63,13,dunno leh cant remember mayb lor wat time r meeting tmr,0
ham,Its a site to simulate the test. It just gives you very tough questions to test your readiness.,95,18,site simulate test give tough question test readiness,0
